epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.6754,1.31591,1.1787,1.05602,0.95186,0.88928,0.96066,0.66462,1.08088,0.64683,0.9703,0.00066568,0.00066568,0.00066568
2,157.465,1.18885,0.74901,1.00508,0.9663,0.94168,0.98174,0.7152,0.93173,0.55238,0.92924,0.00124441,0.00124441,0.00124441
3,231.763,1.14785,0.70568,0.99315,0.94271,0.89266,0.9563,0.6493,1.07508,0.64062,0.97009,0.00173514,0.00173514,0.00173514
4,303.541,1.11214,0.66486,0.98182,0.97705,0.95061,0.98742,0.74247,0.91264,0.49456,0.9287,0.001604,0.001604,0.001604
5,373.422,1.06112,0.61831,0.96705,0.97755,0.96108,0.98872,0.74992,0.88036,0.46157,0.91936,0.001472,0.001472,0.001472
6,444.732,0.92269,0.491,0.92579,0.98134,0.96992,0.99263,0.77541,0.8358,0.4253,0.90659,0.00134,0.00134,0.00134
7,512.981,0.89171,0.46107,0.91438,0.98491,0.97248,0.99308,0.7812,0.81475,0.40944,0.89345,0.001208,0.001208,0.001208
8,582.354,0.86499,0.43812,0.90518,0.98008,0.97765,0.99359,0.79034,0.78788,0.39037,0.88642,0.001076,0.001076,0.001076
9,651.525,0.84108,0.41988,0.89634,0.98614,0.98137,0.99431,0.80439,0.75977,0.37142,0.87797,0.000944,0.000944,0.000944
10,720.327,0.81788,0.40101,0.888,0.99076,0.98234,0.99429,0.81109,0.73993,0.36294,0.86897,0.000812,0.000812,0.000812
11,789.531,0.79988,0.38753,0.88139,0.98806,0.98565,0.99459,0.82058,0.72413,0.34071,0.86472,0.00068,0.00068,0.00068
12,858.314,0.77594,0.37197,0.8737,0.9885,0.98675,0.99458,0.82671,0.70731,0.33643,0.8587,0.000548,0.000548,0.000548
13,927.61,0.75935,0.3572,0.8692,0.98843,0.98975,0.99473,0.83029,0.70217,0.32565,0.85818,0.000416,0.000416,0.000416
14,997.045,0.74389,0.34581,0.8646,0.99389,0.98812,0.99481,0.837,0.68896,0.31368,0.85305,0.000284,0.000284,0.000284
15,1066.26,0.72642,0.33215,0.86025,0.99312,0.99172,0.99482,0.83805,0.68203,0.30574,0.85169,0.000152,0.000152,0.000152
